protocol,split,replicate,severity,tier,cell,component,seed
mve3-v2-approved-2026-07-18,pilot,0,1,anti,p,cell_identity,16779900360964334874
mve3-v2-approved-2026-07-18,pilot,0,1,anti,k,cell_identity,4647766311830852161
mve3-v2-approved-2026-07-18,pilot,0,1,anti,o,cell_identity,15295942192301920329
mve3-v2-approved-2026-07-18,pilot,0,1,anti,pk,cell_identity,9295777685492374694
mve3-v2-approved-2026-07-18,pilot,0,1,anti,po,cell_identity,14184942489759944364
mve3-v2-approved-2026-07-18,pilot,0,1,anti,ko,cell_identity,12369914771964975323
mve3-v2-approved-2026-07-18,pilot,0,1,anti,pko,cell_identity,16348798064429672305
mve3-v2-approved-2026-07-18,pilot,0,2,controlled,shared,o_collection_root,14638393993334843960
mve3-v2-approved-2026-07-18,pilot,0,2,controlled,shared,non_o_collection_root,11476019758758205342
mve3-v2-approved-2026-07-18,pilot,0,2,controlled,shared,evaluation_root,3210263491371055431
mve3-v2-approved-2026-07-18,pilot,0,2,controlled,none,cell_identity,2564440072203044771
mve3-v2-approved-2026-07-18,pilot,0,2,controlled,p,cell_identity,15122108816986351836
mve3-v2-approved-2026-07-18,pilot,0,2,controlled,k,cell_identity,13427748225585583689
mve3-v2-approved-2026-07-18,pilot,0,2,controlled,o,cell_identity,9215655596871041548
mve3-v2-approved-2026-07-18,pilot,0,2,controlled,pk,cell_identity,7265153402513886997
mve3-v2-approved-2026-07-18,pilot,0,2,controlled,po,cell_identity,2866229235633561483
mve3-v2-approved-2026-07-18,pilot,0,2,controlled,ko,cell_identity,3035157446546386192
mve3-v2-approved-2026-07-18,pilot,0,2,controlled,pko,cell_identity,13165163906670774862
mve3-v2-approved-2026-07-18,pilot,0,2,learned,shared,o_collection_root,16878450937387717596
mve3-v2-approved-2026-07-18,pilot,0,2,learned,shared,non_o_collection_root,11476019758758205342
mve3-v2-approved-2026-07-18,pilot,0,2,learned,shared,evaluation_root,3210263491371055431
mve3-v2-approved-2026-07-18,pilot,0,2,learned,none,cell_identity,1305911386848727830
mve3-v2-approved-2026-07-18,pilot,0,2,learned,p,cell_identity,8248192845368247790
mve3-v2-approved-2026-07-18,pilot,0,2,learned,k,cell_identity,16513961879828497220
mve3-v2-approved-2026-07-18,pilot,0,2,learned,o,cell_identity,8186157818297863233
mve3-v2-approved-2026-07-18,pilot,0,2,learned,pk,cell_identity,8137646323823283105
mve3-v2-approved-2026-07-18,pilot,0,2,learned,po,cell_identity,2440877147490326736
mve3-v2-approved-2026-07-18,pilot,0,2,learned,ko,cell_identity,3652350290909134168
mve3-v2-approved-2026-07-18,pilot,0,2,learned,pko,cell_identity,14786555277071694554
mve3-v2-approved-2026-07-18,pilot,0,2,shuffled,shared,o_collection_root,2388292819375102754
mve3-v2-approved-2026-07-18,pilot,0,2,shuffled,shared,non_o_collection_root,11476019758758205342
mve3-v2-approved-2026-07-18,pilot,0,2,shuffled,shared,evaluation_root,3210263491371055431
mve3-v2-approved-2026-07-18,pilot,0,2,shuffled,none,cell_identity,1297794724717554840
mve3-v2-approved-2026-07-18,pilot,0,2,shuffled,p,cell_identity,8315703329899014872
mve3-v2-approved-2026-07-18,pilot,0,2,shuffled,k,cell_identity,205059267912060681
mve3-v2-approved-2026-07-18,pilot,0,2,shuffled,o,cell_identity,3945732842874705211
mve3-v2-approved-2026-07-18,pilot,0,2,shuffled,pk,cell_identity,9216486746271946099
mve3-v2-approved-2026-07-18,pilot,0,2,shuffled,po,cell_identity,6199513095161954004
mve3-v2-approved-2026-07-18,pilot,0,2,shuffled,ko,cell_identity,4034516222385056589
mve3-v2-approved-2026-07-18,pilot,0,2,shuffled,pko,cell_identity,9524467097820677822
mve3-v2-approved-2026-07-18,pilot,0,2,anti,shared,o_collection_root,1119383000564494336
mve3-v2-approved-2026-07-18,pilot,0,2,anti,shared,non_o_collection_root,11476019758758205342
mve3-v2-approved-2026-07-18,pilot,0,2,anti,shared,evaluation_root,3210263491371055431
mve3-v2-approved-2026-07-18,pilot,0,2,anti,none,cell_identity,14054578281616560410
mve3-v2-approved-2026-07-18,pilot,0,2,anti,p,cell_identity,6618596460757152207
mve3-v2-approved-2026-07-18,pilot,0,2,anti,k,cell_identity,17533736548378342806
mve3-v2-approved-2026-07-18,pilot,0,2,anti,o,cell_identity,5229577339573937734
mve3-v2-approved-2026-07-18,pilot,0,2,anti,pk,cell_identity,7906991328680762859
mve3-v2-approved-2026-07-18,pilot,0,2,anti,po,cell_identity,16072402986906427568
mve3-v2-approved-2026-07-18,pilot,0,2,anti,ko,cell_identity,15456193976301805022
mve3-v2-approved-2026-07-18,pilot,0,2,anti,pko,cell_identity,2111258119800574123
mve3-v2-approved-2026-07-18,pilot,0,3,controlled,shared,o_collection_root,5500735693489374552
mve3-v2-approved-2026-07-18,pilot,0,3,controlled,shared,non_o_collection_root,9761822855859003720
mve3-v2-approved-2026-07-18,pilot,0,3,controlled,shared,evaluation_root,7184836655823400462
mve3-v2-approved-2026-07-18,pilot,0,3,controlled,none,cell_identity,4108162765769086536
mve3-v2-approved-2026-07-18,pilot,0,3,controlled,p,cell_identity,12933724155450932782
mve3-v2-approved-2026-07-18,pilot,0,3,controlled,k,cell_identity,6047597137113606361
mve3-v2-approved-2026-07-18,pilot,0,3,controlled,o,cell_identity,16572320857378377735
mve3-v2-approved-2026-07-18,pilot,0,3,controlled,pk,cell_identity,8248628727071964929
mve3-v2-approved-2026-07-18,pilot,0,3,controlled,po,cell_identity,4047282136667421410
mve3-v2-approved-2026-07-18,pilot,0,3,controlled,ko,cell_identity,1601386746424022890
mve3-v2-approved-2026-07-18,pilot,0,3,controlled,pko,cell_identity,4768636678006521430
mve3-v2-approved-2026-07-18,pilot,0,3,learned,shared,o_collection_root,1007893805903623084
mve3-v2-approved-2026-07-18,pilot,0,3,learned,shared,non_o_collection_root,9761822855859003720
mve3-v2-approved-2026-07-18,pilot,0,3,learned,shared,evaluation_root,7184836655823400462
mve3-v2-approved-2026-07-18,pilot,0,3,learned,none,cell_identity,2652456216670417161
mve3-v2-approved-2026-07-18,pilot,0,3,learned,p,cell_identity,12084985139519420704
mve3-v2-approved-2026-07-18,pilot,0,3,learned,k,cell_identity,7109540897475922752
mve3-v2-approved-2026-07-18,pilot,0,3,learned,o,cell_identity,12085899538200385523
mve3-v2-approved-2026-07-18,pilot,0,3,learned,pk,cell_identity,13516124529496438120
mve3-v2-approved-2026-07-18,pilot,0,3,learned,po,cell_identity,15317844057051240243
mve3-v2-approved-2026-07-18,pilot,0,3,learned,ko,cell_identity,7887207725417456206
mve3-v2-approved-2026-07-18,pilot,0,3,learned,pko,cell_identity,17809844440442728611
mve3-v2-approved-2026-07-18,pilot,0,3,shuffled,shared,o_collection_root,15473719137998033202
mve3-v2-approved-2026-07-18,pilot,0,3,shuffled,shared,non_o_collection_root,9761822855859003720
mve3-v2-approved-2026-07-18,pilot,0,3,shuffled,shared,evaluation_root,7184836655823400462
mve3-v2-approved-2026-07-18,pilot,0,3,shuffled,none,cell_identity,12995819073376259099
mve3-v2-approved-2026-07-18,pilot,0,3,shuffled,p,cell_identity,15680488032731702762
mve3-v2-approved-2026-07-18,pilot,0,3,shuffled,k,cell_identity,14247607556935474005
mve3-v2-approved-2026-07-18,pilot,0,3,shuffled,o,cell_identity,15145213538378360283
mve3-v2-approved-2026-07-18,pilot,0,3,shuffled,pk,cell_identity,5771543253909262074
mve3-v2-approved-2026-07-18,pilot,0,3,shuffled,po,cell_identity,8193088857759128285
mve3-v2-approved-2026-07-18,pilot,0,3,shuffled,ko,cell_identity,7009941190999700071
mve3-v2-approved-2026-07-18,pilot,0,3,shuffled,pko,cell_identity,11436131605359289874
mve3-v2-approved-2026-07-18,pilot,0,3,anti,shared,o_collection_root,9387579110547490966
mve3-v2-approved-2026-07-18,pilot,0,3,anti,shared,non_o_collection_root,9761822855859003720
mve3-v2-approved-2026-07-18,pilot,0,3,anti,shared,evaluation_root,7184836655823400462
mve3-v2-approved-2026-07-18,pilot,0,3,anti,none,cell_identity,1759340516395207842
mve3-v2-approved-2026-07-18,pilot,0,3,anti,p,cell_identity,16091842621015249972
mve3-v2-approved-2026-07-18,pilot,0,3,anti,k,cell_identity,7693322023017665976
mve3-v2-approved-2026-07-18,pilot,0,3,anti,o,cell_identity,9460014039985114454
mve3-v2-approved-2026-07-18,pilot,0,3,anti,pk,cell_identity,17802450682354940792
mve3-v2-approved-2026-07-18,pilot,0,3,anti,po,cell_identity,17721974256638465620
mve3-v2-approved-2026-07-18,pilot,0,3,anti,ko,cell_identity,6133806880650814153
mve3-v2-approved-2026-07-18,pilot,0,3,anti,pko,cell_identity,15748631652499382492
mve3-v2-approved-2026-07-18,pilot,1,1,controlled,shared,o_collection_root,3562573841314621211
mve3-v2-approved-2026-07-18,pilot,1,1,controlled,shared,non_o_collection_root,1495555110572082184
mve3-v2-approved-2026-07-18,pilot,1,1,controlled,shared,evaluation_root,11671095917377868872
mve3-v2-approved-2026-07-18,pilot,1,1,controlled,none,cell_identity,2139916499182564342
mve3-v2-approved-2026-07-18,pilot,1,1,controlled,p,cell_identity,1174129533137334996
mve3-v2-approved-2026-07-18,pilot,1,1,controlled,k,cell_identity,17191210899186952752
mve3-v2-approved-2026-07-18,pilot,1,1,controlled,o,cell_identity,1291605347809200989
mve3-v2-approved-2026-07-18,pilot,1,1,controlled,pk,cell_identity,1681764750599451203
mve3-v2-approved-2026-07-18,pilot,1,1,controlled,po,cell_identity,3812076972996064757
mve3-v2-approved-2026-07-18,pilot,1,1,controlled,ko,cell_identity,3408922167082701519
mve3-v2-approved-2026-07-18,pilot,1,1,controlled,pko,cell_identity,12149627837253150776
mve3-v2-approved-2026-07-18,pilot,1,1,learned,shared,o_collection_root,16002020889773505718
mve3-v2-approved-2026-07-18,pilot,1,1,learned,shared,non_o_collection_root,1495555110572082184
mve3-v2-approved-2026-07-18,pilot,1,1,learned,shared,evaluation_root,11671095917377868872
mve3-v2-approved-2026-07-18,pilot,1,1,learned,none,cell_identity,17263253228606241408
mve3-v2-approved-2026-07-18,pilot,1,1,learned,p,cell_identity,18244070506287447823
mve3-v2-approved-2026-07-18,pilot,1,1,learned,k,cell_identity,17857825893695508604
mve3-v2-approved-2026-07-18,pilot,1,1,learned,o,cell_identity,15848346047984388837
mve3-v2-approved-2026-07-18,pilot,1,1,learned,pk,cell_identity,13849159381544657349
mve3-v2-approved-2026-07-18,pilot,1,1,learned,po,cell_identity,15462967078645758935
mve3-v2-approved-2026-07-18,pilot,1,1,learned,ko,cell_identity,3026101602599771599
mve3-v2-approved-2026-07-18,pilot,1,1,learned,pko,cell_identity,18073746284206968842
mve3-v2-approved-2026-07-18,pilot,1,1,shuffled,shared,o_collection_root,13131354577408022357
mve3-v2-approved-2026-07-18,pilot,1,1,shuffled,shared,non_o_collection_root,1495555110572082184
mve3-v2-approved-2026-07-18,pilot,1,1,shuffled,shared,evaluation_root,11671095917377868872
mve3-v2-approved-2026-07-18,pilot,1,1,shuffled,none,cell_identity,11037416032292374092
mve3-v2-approved-2026-07-18,pilot,1,1,shuffled,p,cell_identity,7469073851783431272
mve3-v2-approved-2026-07-18,pilot,1,1,shuffled,k,cell_identity,14720629962600996033
mve3-v2-approved-2026-07-18,pilot,1,1,shuffled,o,cell_identity,15610389705139705072
mve3-v2-approved-2026-07-18,pilot,1,1,shuffled,pk,cell_identity,14081223103311877914
mve3-v2-approved-2026-07-18,pilot,1,1,shuffled,po,cell_identity,14249810765184929704
mve3-v2-approved-2026-07-18,pilot,1,1,shuffled,ko,cell_identity,10101383433649179800
mve3-v2-approved-2026-07-18,pilot,1,1,shuffled,pko,cell_identity,16556857500158554615
mve3-v2-approved-2026-07-18,pilot,1,1,anti,shared,o_collection_root,707246391115523418
mve3-v2-approved-2026-07-18,pilot,1,1,anti,shared,non_o_collection_root,1495555110572082184
mve3-v2-approved-2026-07-18,pilot,1,1,anti,shared,evaluation_root,11671095917377868872
mve3-v2-approved-2026-07-18,pilot,1,1,anti,none,cell_identity,11270413270173149643
mve3-v2-approved-2026-07-18,pilot,1,1,anti,p,cell_identity,5283422853259195316
mve3-v2-approved-2026-07-18,pilot,1,1,anti,k,cell_identity,5258117437146040812
mve3-v2-approved-2026-07-18,pilot,1,1,anti,o,cell_identity,17554212244058835398
mve3-v2-approved-2026-07-18,pilot,1,1,anti,pk,cell_identity,4321963539376385047
mve3-v2-approved-2026-07-18,pilot,1,1,anti,po,cell_identity,16225802750862490437
mve3-v2-approved-2026-07-18,pilot,1,1,anti,ko,cell_identity,14446095705223567788
mve3-v2-approved-2026-07-18,pilot,1,1,anti,pko,cell_identity,2944594734038528233
mve3-v2-approved-2026-07-18,pilot,1,2,controlled,shared,o_collection_root,16243473992012716112
mve3-v2-approved-2026-07-18,pilot,1,2,controlled,shared,non_o_collection_root,5841247479566639581
mve3-v2-approved-2026-07-18,pilot,1,2,controlled,shared,evaluation_root,6791742665214459031
mve3-v2-approved-2026-07-18,pilot,1,2,controlled,none,cell_identity,5394679894744641901
mve3-v2-approved-2026-07-18,pilot,1,2,controlled,p,cell_identity,3673916179431998920
mve3-v2-approved-2026-07-18,pilot,1,2,controlled,k,cell_identity,11861017021588754683
mve3-v2-approved-2026-07-18,pilot,1,2,controlled,o,cell_identity,14381431803337833280
mve3-v2-approved-2026-07-18,pilot,1,2,controlled,pk,cell_identity,17583038614969029156
mve3-v2-approved-2026-07-18,pilot,1,2,controlled,po,cell_identity,14624768423739682890
mve3-v2-approved-2026-07-18,pilot,1,2,controlled,ko,cell_identity,14386452394527314351
mve3-v2-approved-2026-07-18,pilot,1,2,controlled,pko,cell_identity,5019665279016709758
mve3-v2-approved-2026-07-18,pilot,1,2,learned,shared,o_collection_root,11553991542955143887
mve3-v2-approved-2026-07-18,pilot,1,2,learned,shared,non_o_collection_root,5841247479566639581
mve3-v2-approved-2026-07-18,pilot,1,2,learned,shared,evaluation_root,6791742665214459031
mve3-v2-approved-2026-07-18,pilot,1,2,learned,none,cell_identity,8390217065003320342
mve3-v2-approved-2026-07-18,pilot,1,2,learned,p,cell_identity,18442943384026873945
mve3-v2-approved-2026-07-18,pilot,1,2,learned,k,cell_identity,4573498831148757424
mve3-v2-approved-2026-07-18,pilot,1,2,learned,o,cell_identity,2243546298870757463
mve3-v2-approved-2026-07-18,pilot,1,2,learned,pk,cell_identity,15636620687275090023
mve3-v2-approved-2026-07-18,pilot,1,2,learned,po,cell_identity,9547495375421112674
mve3-v2-approved-2026-07-18,pilot,1,2,learned,ko,cell_identity,2779166089973776379
mve3-v2-approved-2026-07-18,pilot,1,2,learned,pko,cell_identity,9108741361843022502
mve3-v2-approved-2026-07-18,pilot,1,2,shuffled,shared,o_collection_root,5962660115536494944
mve3-v2-approved-2026-07-18,pilot,1,2,shuffled,shared,non_o_collection_root,5841247479566639581
mve3-v2-approved-2026-07-18,pilot,1,2,shuffled,shared,evaluation_root,6791742665214459031
mve3-v2-approved-2026-07-18,pilot,1,2,shuffled,none,cell_identity,7332063688062330968
mve3-v2-approved-2026-07-18,pilot,1,2,shuffled,p,cell_identity,1121592743216718641
mve3-v2-approved-2026-07-18,pilot,1,2,shuffled,k,cell_identity,18166784611182109280
mve3-v2-approved-2026-07-18,pilot,1,2,shuffled,o,cell_identity,18244672281676099760
mve3-v2-approved-2026-07-18,pilot,1,2,shuffled,pk,cell_identity,9776383396908414410
mve3-v2-approved-2026-07-18,pilot,1,2,shuffled,po,cell_identity,9560450678553934903
mve3-v2-approved-2026-07-18,pilot,1,2,shuffled,ko,cell_identity,3281681930930498190
mve3-v2-approved-2026-07-18,pilot,1,2,shuffled,pko,cell_identity,999528164635122019
mve3-v2-approved-2026-07-18,pilot,1,2,anti,shared,o_collection_root,17017484084363523833
mve3-v2-approved-2026-07-18,pilot,1,2,anti,shared,non_o_collection_root,5841247479566639581
mve3-v2-approved-2026-07-18,pilot,1,2,anti,shared,evaluation_root,6791742665214459031
mve3-v2-approved-2026-07-18,pilot,1,2,anti,none,cell_identity,4801795126073971910
mve3-v2-approved-2026-07-18,pilot,1,2,anti,p,cell_identity,17591687793521994433
mve3-v2-approved-2026-07-18,pilot,1,2,anti,k,cell_identity,13154534947810377362
mve3-v2-approved-2026-07-18,pilot,1,2,anti,o,cell_identity,6891181972111370991
mve3-v2-approved-2026-07-18,pilot,1,2,anti,pk,cell_identity,17765036570312090129
mve3-v2-approved-2026-07-18,pilot,1,2,anti,po,cell_identity,1562473962793183629
mve3-v2-approved-2026-07-18,pilot,1,2,anti,ko,cell_identity,3318563094659147822
mve3-v2-approved-2026-07-18,pilot,1,2,anti,pko,cell_identity,16000937061660998602
mve3-v2-approved-2026-07-18,pilot,1,3,controlled,shared,o_collection_root,9098053790759262603
mve3-v2-approved-2026-07-18,pilot,1,3,controlled,shared,non_o_collection_root,14638976977226028834
mve3-v2-approved-2026-07-18,pilot,1,3,controlled,shared,evaluation_root,2292377932315522310
mve3-v2-approved-2026-07-18,pilot,1,3,controlled,none,cell_identity,52201104914849240
mve3-v2-approved-2026-07-18,pilot,1,3,controlled,p,cell_identity,12922109534252153916
mve3-v2-approved-2026-07-18,pilot,1,3,controlled,k,cell_identity,15424617012019233346
mve3-v2-approved-2026-07-18,pilot,1,3,controlled,o,cell_identity,8973675422387673564
mve3-v2-approved-2026-07-18,pilot,1,3,controlled,pk,cell_identity,15464813580348970925
mve3-v2-approved-2026-07-18,pilot,1,3,controlled,po,cell_identity,1888165115973865859
mve3-v2-approved-2026-07-18,pilot,1,3,controlled,ko,cell_identity,14042833511932171638
mve3-v2-approved-2026-07-18,pilot,1,3,controlled,pko,cell_identity,14273789404743909404
mve3-v2-approved-2026-07-18,pilot,1,3,learned,shared,o_collection_root,4315660179177013947
mve3-v2-approved-2026-07-18,pilot,1,3,learned,shared,non_o_collection_root,14638976977226028834
mve3-v2-approved-2026-07-18,pilot,1,3,learned,shared,evaluation_root,2292377932315522310
mve3-v2-approved-2026-07-18,pilot,1,3,learned,none,cell_identity,5484795329038699055
mve3-v2-approved-2026-07-18,pilot,1,3,learned,p,cell_identity,1774329732499997793
mve3-v2-approved-2026-07-18,pilot,1,3,learned,k,cell_identity,7907929739440252608
mve3-v2-approved-2026-07-18,pilot,1,3,learned,o,cell_identity,5414199528684688101
mve3-v2-approved-2026-07-18,pilot,1,3,learned,pk,cell_identity,8848141392823147353
mve3-v2-approved-2026-07-18,pilot,1,3,learned,po,cell_identity,7596874010298367854
mve3-v2-approved-2026-07-18,pilot,1,3,learned,ko,cell_identity,4453879187128554458
mve3-v2-approved-2026-07-18,pilot,1,3,learned,pko,cell_identity,13241459770192630663
mve3-v2-approved-2026-07-18,pilot,1,3,shuffled,shared,o_collection_root,15980362139337980249
mve3-v2-approved-2026-07-18,pilot,1,3,shuffled,shared,non_o_collection_root,14638976977226028834
mve3-v2-approved-2026-07-18,pilot,1,3,shuffled,shared,evaluation_root,2292377932315522310
mve3-v2-approved-2026-07-18,pilot,1,3,shuffled,none,cell_identity,12501934050038734791
mve3-v2-approved-2026-07-18,pilot,1,3,shuffled,p,cell_identity,13191291409118875427
mve3-v2-approved-2026-07-18,pilot,1,3,shuffled,k,cell_identity,17731267878029698229
mve3-v2-approved-2026-07-18,pilot,1,3,shuffled,o,cell_identity,14662203719571344633
mve3-v2-approved-2026-07-18,pilot,1,3,shuffled,pk,cell_identity,2548990600074037652
mve3-v2-approved-2026-07-18,pilot,1,3,shuffled,po,cell_identity,7536420150376022972
mve3-v2-approved-2026-07-18,pilot,1,3,shuffled,ko,cell_identity,12397699228544788697
mve3-v2-approved-2026-07-18,pilot,1,3,shuffled,pko,cell_identity,15535962690651167613
mve3-v2-approved-2026-07-18,pilot,1,3,anti,shared,o_collection_root,15120297622548238030
mve3-v2-approved-2026-07-18,pilot,1,3,anti,shared,non_o_collection_root,14638976977226028834
mve3-v2-approved-2026-07-18,pilot,1,3,anti,shared,evaluation_root,2292377932315522310
mve3-v2-approved-2026-07-18,pilot,1,3,anti,none,cell_identity,10364285253406314132
mve3-v2-approved-2026-07-18,pilot,1,3,anti,p,cell_identity,16635259214540143284
mve3-v2-approved-2026-07-18,pilot,1,3,anti,k,cell_identity,14282718244127191728
mve3-v2-approved-2026-07-18,pilot,1,3,anti,o,cell_identity,3894346272593470364
mve3-v2-approved-2026-07-18,pilot,1,3,anti,pk,cell_identity,10889709051768087572
mve3-v2-approved-2026-07-18,pilot,1,3,anti,po,cell_identity,13447051501422896279
mve3-v2-approved-2026-07-18,pilot,1,3,anti,ko,cell_identity,6722896339680164422
mve3-v2-approved-2026-07-18,pilot,1,3,anti,pko,cell_identity,9491239264905104774
mve3-v2-approved-2026-07-18,pilot,2,1,controlled,shared,o_collection_root,8313621866029392333
mve3-v2-approved-2026-07-18,pilot,2,1,controlled,shared,non_o_collection_root,17197868134138938058
mve3-v2-approved-2026-07-18,pilot,2,1,controlled,shared,evaluation_root,3604789518720316469
mve3-v2-approved-2026-07-18,pilot,2,1,controlled,none,cell_identity,80364411510085748
mve3-v2-approved-2026-07-18,pilot,2,1,controlled,p,cell_identity,1128796113007595083
mve3-v2-approved-2026-07-18,pilot,2,1,controlled,k,cell_identity,6551219521147541202
mve3-v2-approved-2026-07-18,pilot,2,1,controlled,o,cell_identity,9843334334177596562
mve3-v2-approved-2026-07-18,pilot,2,1,controlled,pk,cell_identity,10799245367693586719
mve3-v2-approved-2026-07-18,pilot,2,1,controlled,po,cell_identity,11175971847264987348
mve3-v2-approved-2026-07-18,pilot,2,1,controlled,ko,cell_identity,3925412440928932614
mve3-v2-approved-2026-07-18,pilot,2,1,controlled,pko,cell_identity,9428302272649101376
mve3-v2-approved-2026-07-18,pilot,2,1,learned,shared,o_collection_root,1089226220275412205
mve3-v2-approved-2026-07-18,pilot,2,1,learned,shared,non_o_collection_root,17197868134138938058
mve3-v2-approved-2026-07-18,pilot,2,1,learned,shared,evaluation_root,3604789518720316469
mve3-v2-approved-2026-07-18,pilot,2,1,learned,none,cell_identity,11498304965967012757
mve3-v2-approved-2026-07-18,pilot,2,1,learned,p,cell_identity,1861252670112345252
mve3-v2-approved-2026-07-18,pilot,2,1,learned,k,cell_identity,17223610947991737227
mve3-v2-approved-2026-07-18,pilot,2,1,learned,o,cell_identity,6142175217770632180
mve3-v2-approved-2026-07-18,pilot,2,1,learned,pk,cell_identity,11429896376920433489
mve3-v2-approved-2026-07-18,pilot,2,1,learned,po,cell_identity,18046460100476813841
mve3-v2-approved-2026-07-18,pilot,2,1,learned,ko,cell_identity,733407044208976711
mve3-v2-approved-2026-07-18,pilot,2,1,learned,pko,cell_identity,15208654297316942714
mve3-v2-approved-2026-07-18,pilot,2,1,shuffled,shared,o_collection_root,12588009739411291378
mve3-v2-approved-2026-07-18,pilot,2,1,shuffled,shared,non_o_collection_root,17197868134138938058
mve3-v2-approved-2026-07-18,pilot,2,1,shuffled,shared,evaluation_root,3604789518720316469
mve3-v2-approved-2026-07-18,pilot,2,1,shuffled,none,cell_identity,3779418549022537437
mve3-v2-approved-2026-07-18,pilot,2,1,shuffled,p,cell_identity,4019974393653860017
mve3-v2-approved-2026-07-18,pilot,2,1,shuffled,k,cell_identity,6579003887352599787
mve3-v2-approved-2026-07-18,pilot,2,1,shuffled,o,cell_identity,16221545753396695297
mve3-v2-approved-2026-07-18,pilot,2,1,shuffled,pk,cell_identity,436425197650782291
mve3-v2-approved-2026-07-18,pilot,2,1,shuffled,po,cell_identity,16177422833665105896
mve3-v2-approved-2026-07-18,pilot,2,1,shuffled,ko,cell_identity,1986509648503114748
mve3-v2-approved-2026-07-18,pilot,2,1,shuffled,pko,cell_identity,6192321407376377192
mve3-v2-approved-2026-07-18,pilot,2,1,anti,shared,o_collection_root,2749454954162947311
mve3-v2-approved-2026-07-18,pilot,2,1,anti,shared,non_o_collection_root,17197868134138938058
mve3-v2-approved-2026-07-18,pilot,2,1,anti,shared,evaluation_root,3604789518720316469
mve3-v2-approved-2026-07-18,pilot,2,1,anti,none,cell_identity,17061343510975533215
mve3-v2-approved-2026-07-18,pilot,2,1,anti,p,cell_identity,11504068322660957285
mve3-v2-approved-2026-07-18,pilot,2,1,anti,k,cell_identity,16946508008770506927
mve3-v2-approved-2026-07-18,pilot,2,1,anti,o,cell_identity,12020063096415995968
mve3-v2-approved-2026-07-18,pilot,2,1,anti,pk,cell_identity,4126216045924739462
