protocol,split,replicate,severity,component,seed
mve3-v2-approved-2026-07-18,development,6,2,controlled_prior_scale,16782707998004270078
mve3-v2-approved-2026-07-18,development,6,2,controlled_truth_draw,15597138983120589429
mve3-v2-approved-2026-07-18,development,6,2,visual_render,10382099947981802262
mve3-v2-approved-2026-07-18,development,6,3,source_training,5456060467711166635
mve3-v2-approved-2026-07-18,development,6,3,source_evaluation,17427920909277022032
mve3-v2-approved-2026-07-18,development,6,3,controlled_prior_mean,7711703621673903486
mve3-v2-approved-2026-07-18,development,6,3,controlled_prior_scale,9427012214931177587
mve3-v2-approved-2026-07-18,development,6,3,controlled_truth_draw,813055269409963360
mve3-v2-approved-2026-07-18,development,6,3,visual_render,7314362220402493405
mve3-v2-approved-2026-07-18,development,7,1,source_training,16289892100955081935
mve3-v2-approved-2026-07-18,development,7,1,source_evaluation,7661469981164148782
mve3-v2-approved-2026-07-18,development,7,1,controlled_prior_mean,5707578361117122280
mve3-v2-approved-2026-07-18,development,7,1,controlled_prior_scale,15749512868819178575
mve3-v2-approved-2026-07-18,development,7,1,controlled_truth_draw,9897087498988421808
mve3-v2-approved-2026-07-18,development,7,1,visual_render,10583212325729219611
mve3-v2-approved-2026-07-18,development,7,2,source_training,16289892100955081935
mve3-v2-approved-2026-07-18,development,7,2,source_evaluation,7661469981164148782
mve3-v2-approved-2026-07-18,development,7,2,controlled_prior_mean,17495884655592909854
mve3-v2-approved-2026-07-18,development,7,2,controlled_prior_scale,1399843583896864782
mve3-v2-approved-2026-07-18,development,7,2,controlled_truth_draw,12010345545575373122
mve3-v2-approved-2026-07-18,development,7,2,visual_render,17050676210896229657
mve3-v2-approved-2026-07-18,development,7,3,source_training,16289892100955081935
mve3-v2-approved-2026-07-18,development,7,3,source_evaluation,7661469981164148782
mve3-v2-approved-2026-07-18,development,7,3,controlled_prior_mean,5287698771593665495
mve3-v2-approved-2026-07-18,development,7,3,controlled_prior_scale,14844073698592994612
mve3-v2-approved-2026-07-18,development,7,3,controlled_truth_draw,4805420833542748731
mve3-v2-approved-2026-07-18,development,7,3,visual_render,1749348264518240969
mve3-v2-approved-2026-07-18,development,8,1,source_training,6903506154656855902
mve3-v2-approved-2026-07-18,development,8,1,source_evaluation,6751597711764549921
mve3-v2-approved-2026-07-18,development,8,1,controlled_prior_mean,4682814547236901809
mve3-v2-approved-2026-07-18,development,8,1,controlled_prior_scale,7619970726041460466
mve3-v2-approved-2026-07-18,development,8,1,controlled_truth_draw,7646538944873726304
mve3-v2-approved-2026-07-18,development,8,1,visual_render,10596271134530654215
mve3-v2-approved-2026-07-18,development,8,2,source_training,6903506154656855902
mve3-v2-approved-2026-07-18,development,8,2,source_evaluation,6751597711764549921
mve3-v2-approved-2026-07-18,development,8,2,controlled_prior_mean,3208121787490281291
mve3-v2-approved-2026-07-18,development,8,2,controlled_prior_scale,11390739983877209895
mve3-v2-approved-2026-07-18,development,8,2,controlled_truth_draw,5091660029668335611
mve3-v2-approved-2026-07-18,development,8,2,visual_render,16981193028443437790
mve3-v2-approved-2026-07-18,development,8,3,source_training,6903506154656855902
mve3-v2-approved-2026-07-18,development,8,3,source_evaluation,6751597711764549921
mve3-v2-approved-2026-07-18,development,8,3,controlled_prior_mean,2376480538455455916
mve3-v2-approved-2026-07-18,development,8,3,controlled_prior_scale,4652612598134624599
mve3-v2-approved-2026-07-18,development,8,3,controlled_truth_draw,1716614124732108395
mve3-v2-approved-2026-07-18,development,8,3,visual_render,17619064453777580160
mve3-v2-approved-2026-07-18,development,9,1,source_training,16058906002835554813
mve3-v2-approved-2026-07-18,development,9,1,source_evaluation,9694703161279094967
mve3-v2-approved-2026-07-18,development,9,1,controlled_prior_mean,16569445001845668500
mve3-v2-approved-2026-07-18,development,9,1,controlled_prior_scale,8834893127190109110
mve3-v2-approved-2026-07-18,development,9,1,controlled_truth_draw,3353101517977254826
mve3-v2-approved-2026-07-18,development,9,1,visual_render,10731091687870738589
mve3-v2-approved-2026-07-18,development,9,2,source_training,16058906002835554813
mve3-v2-approved-2026-07-18,development,9,2,source_evaluation,9694703161279094967
mve3-v2-approved-2026-07-18,development,9,2,controlled_prior_mean,4181366068079357407
mve3-v2-approved-2026-07-18,development,9,2,controlled_prior_scale,8226218202737204211
mve3-v2-approved-2026-07-18,development,9,2,controlled_truth_draw,5948458037195054995
mve3-v2-approved-2026-07-18,development,9,2,visual_render,13130046474002469603
mve3-v2-approved-2026-07-18,development,9,3,source_training,16058906002835554813
mve3-v2-approved-2026-07-18,development,9,3,source_evaluation,9694703161279094967
mve3-v2-approved-2026-07-18,development,9,3,controlled_prior_mean,15130686038629758825
mve3-v2-approved-2026-07-18,development,9,3,controlled_prior_scale,14217766133896590902
mve3-v2-approved-2026-07-18,development,9,3,controlled_truth_draw,17881785704140588986
mve3-v2-approved-2026-07-18,development,9,3,visual_render,9367273282375829364
mve3-v2-approved-2026-07-18,development,10,1,source_training,10902976190482631872
mve3-v2-approved-2026-07-18,development,10,1,source_evaluation,11206942401782408088
mve3-v2-approved-2026-07-18,development,10,1,controlled_prior_mean,11877050424502801103
mve3-v2-approved-2026-07-18,development,10,1,controlled_prior_scale,349229077575539677
mve3-v2-approved-2026-07-18,development,10,1,controlled_truth_draw,14392926842935555495
mve3-v2-approved-2026-07-18,development,10,1,visual_render,16091866449299862170
mve3-v2-approved-2026-07-18,development,10,2,source_training,10902976190482631872
mve3-v2-approved-2026-07-18,development,10,2,source_evaluation,11206942401782408088
mve3-v2-approved-2026-07-18,development,10,2,controlled_prior_mean,10355410624591907249
mve3-v2-approved-2026-07-18,development,10,2,controlled_prior_scale,14168940149229343176
mve3-v2-approved-2026-07-18,development,10,2,controlled_truth_draw,548845108075605741
mve3-v2-approved-2026-07-18,development,10,2,visual_render,14735397445229951503
mve3-v2-approved-2026-07-18,development,10,3,source_training,10902976190482631872
mve3-v2-approved-2026-07-18,development,10,3,source_evaluation,11206942401782408088
mve3-v2-approved-2026-07-18,development,10,3,controlled_prior_mean,3569961790967914381
mve3-v2-approved-2026-07-18,development,10,3,controlled_prior_scale,5642239155949010787
mve3-v2-approved-2026-07-18,development,10,3,controlled_truth_draw,12438244708499193942
mve3-v2-approved-2026-07-18,development,10,3,visual_render,13063059102428861158
mve3-v2-approved-2026-07-18,development,11,1,source_training,5834554845340003960
mve3-v2-approved-2026-07-18,development,11,1,source_evaluation,8109697010725806094
mve3-v2-approved-2026-07-18,development,11,1,controlled_prior_mean,1714846753243803908
mve3-v2-approved-2026-07-18,development,11,1,controlled_prior_scale,15851029614839580187
mve3-v2-approved-2026-07-18,development,11,1,controlled_truth_draw,9966624096467755827
mve3-v2-approved-2026-07-18,development,11,1,visual_render,12577925193140714941
mve3-v2-approved-2026-07-18,development,11,2,source_training,5834554845340003960
mve3-v2-approved-2026-07-18,development,11,2,source_evaluation,8109697010725806094
mve3-v2-approved-2026-07-18,development,11,2,controlled_prior_mean,8935621065861602314
mve3-v2-approved-2026-07-18,development,11,2,controlled_prior_scale,351901355000583983
mve3-v2-approved-2026-07-18,development,11,2,controlled_truth_draw,6621131888243363223
mve3-v2-approved-2026-07-18,development,11,2,visual_render,13961956711207676567
mve3-v2-approved-2026-07-18,development,11,3,source_training,5834554845340003960
mve3-v2-approved-2026-07-18,development,11,3,source_evaluation,8109697010725806094
mve3-v2-approved-2026-07-18,development,11,3,controlled_prior_mean,10224561376984340836
mve3-v2-approved-2026-07-18,development,11,3,controlled_prior_scale,4263606466393168304
mve3-v2-approved-2026-07-18,development,11,3,controlled_truth_draw,11897064873950645394
mve3-v2-approved-2026-07-18,development,11,3,visual_render,316192374666685195
mve3-v2-approved-2026-07-18,development,12,1,source_training,12023605072643530151
mve3-v2-approved-2026-07-18,development,12,1,source_evaluation,17601210017408931589
mve3-v2-approved-2026-07-18,development,12,1,controlled_prior_mean,15128696669209281186
mve3-v2-approved-2026-07-18,development,12,1,controlled_prior_scale,9935176416080523373
mve3-v2-approved-2026-07-18,development,12,1,controlled_truth_draw,14892342338689180057
mve3-v2-approved-2026-07-18,development,12,1,visual_render,10309077956607487558
mve3-v2-approved-2026-07-18,development,12,2,source_training,12023605072643530151
mve3-v2-approved-2026-07-18,development,12,2,source_evaluation,17601210017408931589
mve3-v2-approved-2026-07-18,development,12,2,controlled_prior_mean,12026792233951338563
mve3-v2-approved-2026-07-18,development,12,2,controlled_prior_scale,68978174907694053
mve3-v2-approved-2026-07-18,development,12,2,controlled_truth_draw,17350168580636103239
mve3-v2-approved-2026-07-18,development,12,2,visual_render,1519554066124435205
mve3-v2-approved-2026-07-18,development,12,3,source_training,12023605072643530151
mve3-v2-approved-2026-07-18,development,12,3,source_evaluation,17601210017408931589
mve3-v2-approved-2026-07-18,development,12,3,controlled_prior_mean,15828099980636815511
mve3-v2-approved-2026-07-18,development,12,3,controlled_prior_scale,15706188063249662817
mve3-v2-approved-2026-07-18,development,12,3,controlled_truth_draw,3974304301585254920
mve3-v2-approved-2026-07-18,development,12,3,visual_render,9897402804740015003
mve3-v2-approved-2026-07-18,development,13,1,source_training,12913541943420282909
mve3-v2-approved-2026-07-18,development,13,1,source_evaluation,18206270236870671208
mve3-v2-approved-2026-07-18,development,13,1,controlled_prior_mean,8632437392129514597
mve3-v2-approved-2026-07-18,development,13,1,controlled_prior_scale,5539894922834012521
mve3-v2-approved-2026-07-18,development,13,1,controlled_truth_draw,7206226417247764883
mve3-v2-approved-2026-07-18,development,13,1,visual_render,3342478502405039342
mve3-v2-approved-2026-07-18,development,13,2,source_training,12913541943420282909
mve3-v2-approved-2026-07-18,development,13,2,source_evaluation,18206270236870671208
mve3-v2-approved-2026-07-18,development,13,2,controlled_prior_mean,6057421401395598553
mve3-v2-approved-2026-07-18,development,13,2,controlled_prior_scale,14699249842832893876
mve3-v2-approved-2026-07-18,development,13,2,controlled_truth_draw,4640859670066157411
mve3-v2-approved-2026-07-18,development,13,2,visual_render,8554043617291354011
mve3-v2-approved-2026-07-18,development,13,3,source_training,12913541943420282909
mve3-v2-approved-2026-07-18,development,13,3,source_evaluation,18206270236870671208
mve3-v2-approved-2026-07-18,development,13,3,controlled_prior_mean,12003293421280080774
mve3-v2-approved-2026-07-18,development,13,3,controlled_prior_scale,13941071971649486746
mve3-v2-approved-2026-07-18,development,13,3,controlled_truth_draw,7596506819690956873
mve3-v2-approved-2026-07-18,development,13,3,visual_render,10066697414197643259
mve3-v2-approved-2026-07-18,development,14,1,source_training,5018335642122398169
mve3-v2-approved-2026-07-18,development,14,1,source_evaluation,831211935798032082
mve3-v2-approved-2026-07-18,development,14,1,controlled_prior_mean,513754953817139063
mve3-v2-approved-2026-07-18,development,14,1,controlled_prior_scale,14025158615951209225
mve3-v2-approved-2026-07-18,development,14,1,controlled_truth_draw,4722501422909509619
mve3-v2-approved-2026-07-18,development,14,1,visual_render,6430274175767844808
mve3-v2-approved-2026-07-18,development,14,2,source_training,5018335642122398169
mve3-v2-approved-2026-07-18,development,14,2,source_evaluation,831211935798032082
mve3-v2-approved-2026-07-18,development,14,2,controlled_prior_mean,11812313401159761419
mve3-v2-approved-2026-07-18,development,14,2,controlled_prior_scale,16627855847193324494
mve3-v2-approved-2026-07-18,development,14,2,controlled_truth_draw,3628935937081521635
mve3-v2-approved-2026-07-18,development,14,2,visual_render,517307561912394562
mve3-v2-approved-2026-07-18,development,14,3,source_training,5018335642122398169
mve3-v2-approved-2026-07-18,development,14,3,source_evaluation,831211935798032082
mve3-v2-approved-2026-07-18,development,14,3,controlled_prior_mean,8447734065384296282
mve3-v2-approved-2026-07-18,development,14,3,controlled_prior_scale,1359785238225514792
mve3-v2-approved-2026-07-18,development,14,3,controlled_truth_draw,8304963182143080762
mve3-v2-approved-2026-07-18,development,14,3,visual_render,16503808896247968269
mve3-v2-approved-2026-07-18,development,15,1,source_training,9947354735408852942
mve3-v2-approved-2026-07-18,development,15,1,source_evaluation,6808912695220105433
mve3-v2-approved-2026-07-18,development,15,1,controlled_prior_mean,5804005438922575063
mve3-v2-approved-2026-07-18,development,15,1,controlled_prior_scale,4366040747245836832
mve3-v2-approved-2026-07-18,development,15,1,controlled_truth_draw,10361276417936143262
mve3-v2-approved-2026-07-18,development,15,1,visual_render,11602113632461092787
mve3-v2-approved-2026-07-18,development,15,2,source_training,9947354735408852942
mve3-v2-approved-2026-07-18,development,15,2,source_evaluation,6808912695220105433
mve3-v2-approved-2026-07-18,development,15,2,controlled_prior_mean,10402839473816276336
mve3-v2-approved-2026-07-18,development,15,2,controlled_prior_scale,11662716592450201040
mve3-v2-approved-2026-07-18,development,15,2,controlled_truth_draw,15949069555567361401
mve3-v2-approved-2026-07-18,development,15,2,visual_render,13316230147869104240
mve3-v2-approved-2026-07-18,development,15,3,source_training,9947354735408852942
mve3-v2-approved-2026-07-18,development,15,3,source_evaluation,6808912695220105433
mve3-v2-approved-2026-07-18,development,15,3,controlled_prior_mean,1946468489556916178
mve3-v2-approved-2026-07-18,development,15,3,controlled_prior_scale,1553375433051466765
mve3-v2-approved-2026-07-18,development,15,3,controlled_truth_draw,4292263344849273003
mve3-v2-approved-2026-07-18,development,15,3,visual_render,9632216414863125880
mve3-v2-approved-2026-07-18,development,16,1,source_training,16604121537205189655
mve3-v2-approved-2026-07-18,development,16,1,source_evaluation,7237679109520770971
mve3-v2-approved-2026-07-18,development,16,1,controlled_prior_mean,16268301417168029470
mve3-v2-approved-2026-07-18,development,16,1,controlled_prior_scale,17176010483381587777
mve3-v2-approved-2026-07-18,development,16,1,controlled_truth_draw,5818824533931743011
mve3-v2-approved-2026-07-18,development,16,1,visual_render,2146887683564627168
mve3-v2-approved-2026-07-18,development,16,2,source_training,16604121537205189655
mve3-v2-approved-2026-07-18,development,16,2,source_evaluation,7237679109520770971
mve3-v2-approved-2026-07-18,development,16,2,controlled_prior_mean,8118675737111546142
mve3-v2-approved-2026-07-18,development,16,2,controlled_prior_scale,13518252181805869742
mve3-v2-approved-2026-07-18,development,16,2,controlled_truth_draw,13625999204174837917
mve3-v2-approved-2026-07-18,development,16,2,visual_render,13443348215947122406
mve3-v2-approved-2026-07-18,development,16,3,source_training,16604121537205189655
mve3-v2-approved-2026-07-18,development,16,3,source_evaluation,7237679109520770971
mve3-v2-approved-2026-07-18,development,16,3,controlled_prior_mean,18346221321338634883
mve3-v2-approved-2026-07-18,development,16,3,controlled_prior_scale,17324386697895373257
mve3-v2-approved-2026-07-18,development,16,3,controlled_truth_draw,1188824501126353957
mve3-v2-approved-2026-07-18,development,16,3,visual_render,15326745414839518854
mve3-v2-approved-2026-07-18,development,17,1,source_training,1128568502728116440
mve3-v2-approved-2026-07-18,development,17,1,source_evaluation,16021792219899127327
mve3-v2-approved-2026-07-18,development,17,1,controlled_prior_mean,9413916432208307147
mve3-v2-approved-2026-07-18,development,17,1,controlled_prior_scale,15798475834851294583
mve3-v2-approved-2026-07-18,development,17,1,controlled_truth_draw,9783202183646520355
mve3-v2-approved-2026-07-18,development,17,1,visual_render,17580617566304767214
mve3-v2-approved-2026-07-18,development,17,2,source_training,1128568502728116440
mve3-v2-approved-2026-07-18,development,17,2,source_evaluation,16021792219899127327
mve3-v2-approved-2026-07-18,development,17,2,controlled_prior_mean,1795252529009274863
mve3-v2-approved-2026-07-18,development,17,2,controlled_prior_scale,3046476210232050621
mve3-v2-approved-2026-07-18,development,17,2,controlled_truth_draw,13631624420433531231
mve3-v2-approved-2026-07-18,development,17,2,visual_render,2929328286540605670
mve3-v2-approved-2026-07-18,development,17,3,source_training,1128568502728116440
mve3-v2-approved-2026-07-18,development,17,3,source_evaluation,16021792219899127327
mve3-v2-approved-2026-07-18,development,17,3,controlled_prior_mean,18347791218225490757
mve3-v2-approved-2026-07-18,development,17,3,controlled_prior_scale,10758708376644517953
mve3-v2-approved-2026-07-18,development,17,3,controlled_truth_draw,16085946624678592200
mve3-v2-approved-2026-07-18,development,17,3,visual_render,11230112005095521392
mve3-v2-approved-2026-07-18,development,18,1,source_training,3675842661981527775
mve3-v2-approved-2026-07-18,development,18,1,source_evaluation,16391312412543265190
mve3-v2-approved-2026-07-18,development,18,1,controlled_prior_mean,2589576424149683870
mve3-v2-approved-2026-07-18,development,18,1,controlled_prior_scale,6835421574446467773
mve3-v2-approved-2026-07-18,development,18,1,controlled_truth_draw,17025864931927727608
mve3-v2-approved-2026-07-18,development,18,1,visual_render,3938071952041492198
mve3-v2-approved-2026-07-18,development,18,2,source_training,3675842661981527775
mve3-v2-approved-2026-07-18,development,18,2,source_evaluation,16391312412543265190
mve3-v2-approved-2026-07-18,development,18,2,controlled_prior_mean,10187227065427481481
mve3-v2-approved-2026-07-18,development,18,2,controlled_prior_scale,3607183446506081660
mve3-v2-approved-2026-07-18,development,18,2,controlled_truth_draw,12322843919832976571
mve3-v2-approved-2026-07-18,development,18,2,visual_render,18193499982326048988
mve3-v2-approved-2026-07-18,development,18,3,source_training,3675842661981527775
mve3-v2-approved-2026-07-18,development,18,3,source_evaluation,16391312412543265190
mve3-v2-approved-2026-07-18,development,18,3,controlled_prior_mean,4846890646180056028
mve3-v2-approved-2026-07-18,development,18,3,controlled_prior_scale,8187258647364441918
mve3-v2-approved-2026-07-18,development,18,3,controlled_truth_draw,17218565289661084189
mve3-v2-approved-2026-07-18,development,18,3,visual_render,14683443666922894485
mve3-v2-approved-2026-07-18,development,19,1,source_training,3608273272793002746
mve3-v2-approved-2026-07-18,development,19,1,source_evaluation,10816383620380314364
mve3-v2-approved-2026-07-18,development,19,1,controlled_prior_mean,10798512481398159521
mve3-v2-approved-2026-07-18,development,19,1,controlled_prior_scale,7608884226274779796
mve3-v2-approved-2026-07-18,development,19,1,controlled_truth_draw,7697818010493812385
mve3-v2-approved-2026-07-18,development,19,1,visual_render,1663372010593188401
mve3-v2-approved-2026-07-18,development,19,2,source_training,3608273272793002746
mve3-v2-approved-2026-07-18,development,19,2,source_evaluation,10816383620380314364
mve3-v2-approved-2026-07-18,development,19,2,controlled_prior_mean,31811181541786581
mve3-v2-approved-2026-07-18,development,19,2,controlled_prior_scale,3764163877851598987
mve3-v2-approved-2026-07-18,development,19,2,controlled_truth_draw,9340843387527333980
mve3-v2-approved-2026-07-18,development,19,2,visual_render,16317100569121123884
mve3-v2-approved-2026-07-18,development,19,3,source_training,3608273272793002746
mve3-v2-approved-2026-07-18,development,19,3,source_evaluation,10816383620380314364
mve3-v2-approved-2026-07-18,development,19,3,controlled_prior_mean,12862920675657511111
mve3-v2-approved-2026-07-18,development,19,3,controlled_prior_scale,13795347861849256463
mve3-v2-approved-2026-07-18,development,19,3,controlled_truth_draw,9628159819738375454
mve3-v2-approved-2026-07-18,development,19,3,visual_render,6389886314759059048
